age,gender,daily_screen_time_hours,social_media_hours,gaming_hours,work_study_hours,sleep_hours,notifications_per_day,app_opens_per_day,weekend_screen_time,stress_level,academic_work_impact,addiction_level,addicted_label
27,Other,10.54,2.94,3.13,1.15,5.83,213,105,11.53,High,Yes,Moderate,1
32,Male,11.77,2.85,1.68,2.85,4.76,65,135,13.89,Medium,Yes,Moderate,1
23,Male,7.98,5.02,2.59,3.12,4.75,189,33,10.47,High,Yes,Moderate,1
25,Female,4.22,1.59,1.95,3.47,7.14,38,50,5.67,High,No,Mild,0
25,Female,11.2,0.96,1.14,1.34,5.9,25,25,11.77,High,Yes,Severe,1
25,Other,8.13,3.46,3.63,1.32,5.59,198,33,9.15,Medium,No,Severe,1
34,Female,10.66,2.59,0.83,5.84,7.9,157,81,11.42,High,Yes,Severe,1
28,Female,8.13,5.35,1.36,1.66,6.86,30,39,8.88,Medium,Yes,Severe,1
23,Female,9.3,2.66,0.74,2.95,8.07,76,109,9.96,Low,No,Moderate,1
28,Female,11.49,1.71,3.23,1.87,8.78,113,115,12.78,Medium,No,Severe,1
34,Female,6.97,2.11,1.7,1.41,8.16,167,88,9.24,Low,Yes,Moderate,1
22,Female,5.83,5.77,2.31,5.84,6.38,118,151,8.65,Low,Yes,Moderate,1
22,Female,9.76,5.32,2.84,1.49,8.75,209,96,12.02,High,No,Moderate,1
26,Female,10.8,0.9,2.3,2.16,8.41,188,110,13.55,Low,Yes,Moderate,1
33,Male,7.15,5.91,2.76,5.2,7.51,198,16,8.37,Medium,No,Severe,1
29,Other,4.05,3.36,2.79,0.79,4.61,78,171,5.87,Low,No,Mild,0
22,Female,9.97,1.56,2.58,5.34,7.62,165,84,11.26,High,No,Severe,1
22,Other,3.24,5.72,0.2,5.38,7.54,94,143,6.04,Low,No,Severe,1
24,Other,4.84,4.64,1.69,2.98,7.09,25,145,5.76,High,No,Severe,1
20,Other,9.28,2.6,3.41,4.02,5.64,93,126,11.97,High,Yes,Moderate,1
29,Male,11.26,2.04,2.86,0.79,8.4,57,81,13.31,Low,Yes,Severe,1
18,Male,3.7,5.44,1.17,1.1,6.05,250,150,5.99,High,Yes,Moderate,1
34,Male,9.6,3.67,3.03,4.54,5.79,183,32,10.25,Low,No,Moderate,1
29,Female,6.65,5.41,1.36,4.28,8.25,68,148,8.74,Low,No,Moderate,1
27,Female,7.12,2.44,0.2,0.73,7.38,46,118,8.91,Medium,No,Moderate,1
21,Other,7.38,4.99,2.2,0.7,8.83,175,24,8.27,Medium,Yes,Severe,1
34,Male,9.25,4.05,0.82,4.36,6.46,47,108,11.04,Medium,No,Severe,1
20,Male,8.12,3.09,3.33,2.91,7.11,202,148,9.12,Low,Yes,Severe,1
33,Female,10.83,4.46,3.46,2.33,8.91,73,110,11.8,Medium,Yes,Severe,1
28,Male,6.96,1.32,1.48,2.51,5.58,83,163,9.1,High,Yes,Moderate,1
30,Female,6.6,1.28,1.87,4.77,6.67,163,26,7.27,Medium,No,Moderate,1
35,Female,7.36,5.28,0.02,5.31,5.41,58,146,8.71,Low,No,Moderate,1
30,Female,6.87,3.58,2.59,1.9,4.81,114,30,7.78,Low,No,Moderate,1
21,Other,11.71,0.52,2.18,5.0,8.74,21,152,14.5,Medium,Yes,Moderate,1
32,Other,9.89,1.73,3.46,5.15,8.78,223,136,11.56,High,Yes,Moderate,1
27,Male,4.26,1.21,2.93,4.09,8.65,70,15,6.71,Low,Yes,Mild,0
22,Other,3.66,5.05,2.87,2.03,5.37,192,89,5.38,High,Yes,Severe,1
33,Female,10.64,4.3,1.79,3.08,7.91,233,124,13.48,High,No,Moderate,1
29,Male,9.39,2.89,3.09,2.71,6.55,95,25,11.41,High,No,Moderate,1
27,Male,10.01,0.59,2.46,2.52,5.23,230,87,12.87,High,No,Severe,1
32,Male,8.62,5.76,0.73,5.11,7.11,214,81,9.73,High,Yes,Severe,1
29,Other,9.24,3.13,0.97,0.78,5.01,146,178,11.21,Low,No,Moderate,1
21,Female,3.39,2.68,3.32,1.33,4.54,149,23,4.23,Medium,Yes,Mild,0
28,Other,8.38,5.25,3.67,1.62,5.93,149,143,10.66,Medium,No,Moderate,1
23,Other,3.97,3.64,1.89,1.0,5.63,82,144,6.78,High,No,Mild,0
25,Male,10.31,0.63,0.83,5.68,8.77,197,50,12.85,Medium,No,Severe,1
22,Female,3.19,2.65,0.2,2.17,7.86,222,19,4.49,High,Yes,Mild,0
24,Female,10.42,3.23,0.46,5.75,5.41,34,180,12.66,Low,Yes,Severe,1
24,Male,6.43,4.42,3.33,1.6,4.56,34,29,8.74,High,Yes,Moderate,1
35,Other,6.99,1.13,0.01,5.67,8.34,156,26,7.92,High,Yes,Moderate,1
32,Other,6.75,0.99,3.08,2.67,6.9,184,21,8.53,Low,Yes,Mild,0
31,Male,7.68,2.42,3.94,4.69,5.86,137,80,10.1,Low,No,Mild,0
32,Female,8.57,2.1,0.56,3.57,8.94,211,93,9.42,Medium,Yes,Severe,1
29,Other,8.83,4.67,0.42,4.97,6.42,196,40,10.6,Medium,No,Moderate,1
34,Female,7.88,5.77,1.64,1.8,6.95,190,106,8.44,High,No,Moderate,1
30,Other,4.55,1.37,1.7,2.89,6.82,196,146,5.08,High,Yes,Mild,0
30,Female,3.77,2.67,3.27,1.43,6.98,184,169,5.96,High,Yes,Mild,0
25,Female,10.28,3.61,0.42,2.28,7.3,142,134,11.16,Medium,No,Severe,1
18,Female,7.94,1.53,2.23,5.78,6.89,101,22,10.75,High,No,Mild,0
21,Male,11.03,4.79,1.32,3.53,5.35,37,50,13.01,Medium,No,Severe,1
35,Other,7.8,0.94,0.46,5.87,6.87,30,29,10.48,Medium,Yes,Mild,0
18,Female,9.97,3.74,0.07,1.06,8.45,107,177,10.5,High,No,Moderate,1
26,Male,4.54,4.65,0.09,4.14,7.2,58,61,5.45,Low,No,Moderate,1
35,Other,3.14,1.42,0.17,4.8,6.74,70,20,5.99,Medium,Yes,Mild,0
31,Other,4.25,4.36,2.3,2.5,6.61,222,177,5.47,Low,No,Severe,1
20,Other,10.26,4.69,1.22,5.7,8.82,114,119,12.46,Medium,No,Moderate,1
30,Female,7.88,3.21,0.83,4.05,5.64,115,71,9.02,High,Yes,Moderate,1
31,Other,11.07,5.86,2.65,2.8,8.67,151,65,13.24,Medium,Yes,Severe,1
25,Female,8.95,5.6,2.62,5.7,7.33,238,121,11.53,Low,No,Severe,1
31,Female,9.94,3.86,0.87,5.06,5.63,82,125,12.93,High,No,Moderate,1
18,Male,9.87,4.85,1.28,0.83,8.98,28,167,10.81,Medium,No,Severe,1
33,Male,11.16,5.14,2.36,1.98,8.05,108,175,14.08,Low,Yes,Moderate,1
31,Female,10.56,2.59,0.73,4.17,5.0,33,149,11.97,Low,Yes,Severe,1
27,Male,6.08,0.94,2.53,2.87,4.68,174,175,6.78,Low,No,Mild,0
33,Male,8.99,5.58,1.38,2.47,7.9,76,131,11.24,Medium,Yes,Severe,1
35,Female,10.61,2.79,0.8,2.93,6.23,235,50,13.22,High,No,Severe,1
31,Other,9.47,4.69,2.99,4.69,5.66,45,59,11.85,Low,No,Moderate,1
32,Other,6.53,0.58,2.49,0.83,7.07,41,169,9.11,Low,Yes,Mild,0
28,Other,11.55,2.9,1.98,0.83,6.01,202,99,13.85,High,Yes,Moderate,1
31,Other,6.97,4.22,0.4,1.45,7.92,91,73,9.54,High,Yes,Severe,1
29,Other,10.65,1.0,1.17,1.34,5.15,175,77,12.15,Medium,Yes,Moderate,1
23,Other,10.07,1.81,0.99,1.23,6.13,114,128,11.52,Low,Yes,Moderate,1
28,Male,5.64,0.63,1.14,1.92,8.53,153,66,7.76,Low,No,Mild,0
20,Female,10.98,4.27,3.42,4.15,7.13,143,45,13.18,Low,No,Moderate,1
22,Other,9.15,1.13,2.69,3.07,5.07,220,101,11.67,Medium,Yes,Moderate,1
21,Other,10.58,1.28,2.46,4.59,7.79,145,73,13.13,Low,Yes,Moderate,1
35,Male,5.22,3.62,0.3,2.27,5.48,137,126,7.67,Low,Yes,Mild,0
34,Male,9.14,3.18,1.77,2.11,8.33,209,173,11.74,Low,No,Moderate,1
26,Other,5.47,0.78,3.24,1.48,5.09,185,111,7.83,High,Yes,Mild,0
19,Male,10.98,4.6,1.24,2.4,4.75,172,95,12.74,Medium,No,Moderate,1
31,Male,7.88,1.03,0.3,1.84,6.97,53,129,8.81,Low,No,Mild,0
19,Female,9.94,4.57,2.74,0.92,7.89,119,148,10.74,High,No,Moderate,1
18,Other,5.14,3.61,2.67,0.97,8.72,142,77,7.49,High,Yes,Mild,0
34,Female,8.33,2.18,1.94,3.15,4.71,25,105,9.15,Medium,Yes,Moderate,1
18,Male,7.11,2.89,1.08,2.51,8.07,223,151,9.7,Medium,Yes,Mild,0
32,Female,3.06,2.54,3.06,5.35,7.13,40,174,4.22,High,No,Mild,0
29,Male,6.78,3.1,2.47,2.39,6.25,49,168,7.75,Medium,No,Mild,0
32,Male,7.02,4.26,0.47,4.65,6.75,126,51,9.64,Low,No,Severe,1
22,Male,9.68,4.71,1.53,4.77,6.95,26,110,11.09,Low,No,Moderate,1
35,Male,10.61,3.39,2.99,5.03,4.71,206,50,11.65,High,No,Severe,1
31,Male,10.01,4.26,0.7,4.19,6.19,95,145,11.08,High,No,Severe,1
35,Other,8.03,5.79,0.01,2.03,5.49,194,169,10.83,Low,No,Moderate,1
20,Male,9.89,3.67,0.72,5.74,8.01,200,167,10.67,High,Yes,Severe,1
34,Female,4.41,3.14,2.07,0.61,6.91,134,164,6.84,Medium,Yes,Mild,0
32,Female,7.73,4.51,3.35,3.36,5.63,167,137,10.47,High,No,Moderate,1
23,Male,11.37,1.24,1.96,1.11,6.96,124,100,14.34,Medium,Yes,Moderate,1
23,Male,8.37,5.9,1.47,2.44,8.18,210,121,9.13,High,No,Severe,1
33,Other,11.22,3.29,0.35,5.12,5.45,238,166,13.34,High,Yes,Severe,1
23,Female,9.28,1.13,0.83,5.03,6.75,129,141,10.65,High,Yes,Moderate,1
25,Other,10.22,4.3,1.69,1.16,8.27,39,135,12.25,High,No,Severe,1
19,Other,9.79,0.75,2.76,5.09,5.59,192,56,11.79,High,No,Severe,1
28,Female,7.53,2.38,1.68,5.82,8.4,194,168,10.32,High,Yes,Mild,0
26,Female,11.99,1.7,2.53,1.3,5.95,248,102,12.75,Medium,Yes,Moderate,1
35,Other,10.93,0.87,2.96,5.9,8.77,85,141,13.6,Low,Yes,Moderate,1
24,Male,6.65,0.71,2.78,2.67,7.07,86,106,7.8,Low,No,Moderate,1
31,Female,9.26,2.18,3.53,3.69,6.59,181,86,12.05,Low,Yes,Moderate,1
33,Other,8.72,5.41,1.31,5.7,8.67,127,117,10.49,Low,Yes,Moderate,1
33,Male,4.73,2.86,0.12,4.31,5.04,188,72,7.0,Low,Yes,Mild,0
23,Male,8.82,4.54,3.78,1.02,7.28,245,73,11.35,Low,No,Moderate,1
25,Male,6.9,2.2,0.06,5.4,4.95,222,94,8.13,Low,No,Moderate,1
34,Male,6.83,0.86,1.35,5.94,4.54,225,162,8.04,Medium,No,Moderate,1
35,Other,8.58,0.86,0.77,0.71,5.9,182,49,9.83,Medium,Yes,Moderate,1
23,Other,6.47,0.92,3.61,4.79,4.62,71,96,7.93,High,No,Mild,0
23,Male,3.32,5.76,0.97,2.6,6.22,169,123,5.32,Low,No,Moderate,1
35,Male,6.45,3.63,0.37,0.86,8.2,220,64,8.47,Low,Yes,Moderate,1
26,Other,8.88,5.22,1.18,2.58,7.53,151,63,10.06,Low,Yes,Severe,1
34,Other,7.85,1.77,0.95,1.65,6.17,208,149,9.3,High,No,Mild,0
31,Male,9.98,2.49,1.15,2.06,7.77,65,113,12.84,Low,No,Severe,1
32,Female,5.42,2.37,3.33,3.68,6.06,214,158,7.5,High,No,Mild,0
18,Female,5.24,2.85,3.62,5.3,6.4,103,68,6.55,Low,No,Mild,0
27,Male,9.66,3.86,1.61,2.58,8.83,130,130,11.63,High,No,Severe,1
31,Male,9.31,3.02,3.41,4.03,8.42,241,125,11.27,Low,No,Severe,1
20,Female,3.24,4.67,3.19,1.93,8.78,203,129,4.0,Medium,No,Severe,1
31,Other,9.55,0.5,1.35,3.49,6.77,25,39,11.01,High,No,Severe,1
23,Male,4.84,4.32,3.88,2.52,8.49,131,162,6.63,Low,No,Severe,1
28,Other,10.03,2.75,2.83,4.85,5.53,107,94,10.64,High,No,Moderate,1
31,Male,3.65,5.07,2.15,1.42,5.99,134,46,4.9,Low,Yes,Severe,1
25,Other,7.85,5.29,4.0,2.85,5.28,116,92,9.64,Low,No,Moderate,1
27,Other,8.16,4.67,1.63,3.58,4.73,118,65,9.47,Medium,Yes,Moderate,1
34,Female,10.74,1.31,3.47,4.39,6.57,154,111,13.14,Low,Yes,Severe,1
31,Other,4.32,5.7,2.99,1.69,5.87,92,69,6.39,Medium,No,Severe,1
25,Male,5.09,3.45,2.7,1.33,5.5,132,122,5.81,High,Yes,Mild,0
21,Female,10.97,2.16,3.47,3.04,8.49,64,120,13.7,Medium,Yes,Severe,1
35,Other,5.82,0.73,2.46,5.5,8.62,174,140,8.35,Medium,No,Mild,0
26,Female,9.16,4.08,3.76,5.12,7.71,55,165,10.55,Low,No,Severe,1
18,Female,11.66,4.81,1.9,3.06,7.01,92,21,12.82,Low,Yes,Severe,1
32,Other,6.19,2.19,1.78,1.6,4.9,101,135,8.61,High,Yes,Mild,0
19,Other,10.1,4.04,0.19,5.18,7.82,223,119,11.53,Medium,Yes,Moderate,1
27,Other,9.5,2.39,2.1,5.77,6.0,188,123,10.91,Medium,Yes,Moderate,1
22,Male,11.47,2.86,0.13,4.26,8.62,215,18,14.12,Low,No,Severe,1
20,Male,3.63,4.55,3.26,3.72,7.89,112,122,4.32,High,No,Severe,1
20,Female,7.93,4.26,1.27,1.68,8.83,221,85,9.43,Low,No,Severe,1
32,Other,6.83,1.01,2.57,4.06,6.8,191,15,8.03,Medium,No,Moderate,1
30,Other,7.93,1.31,2.46,4.57,7.7,114,118,9.29,High,No,Mild,0
20,Female,5.49,1.4,0.93,1.77,7.78,167,62,7.23,Medium,Yes,Mild,0
33,Male,9.12,3.93,1.69,5.53,4.8,34,105,9.79,Low,No,Severe,1
27,Female,7.36,2.98,0.97,3.53,8.27,84,131,9.69,High,No,Mild,0
33,Male,8.81,5.11,3.97,3.45,7.86,199,119,10.34,Medium,No,Severe,1
24,Female,3.81,1.62,1.47,3.28,5.35,56,105,5.6,Low,No,Mild,0
35,Female,10.33,2.42,3.8,5.65,7.99,113,178,11.25,Low,No,Severe,1
19,Female,10.28,3.37,2.82,4.23,8.88,63,156,13.23,Medium,No,Moderate,1
32,Other,6.11,3.91,0.86,1.63,8.34,170,71,7.39,High,Yes,Mild,0
19,Male,11.93,5.78,0.26,1.92,6.23,86,47,14.19,Low,No,Moderate,1
29,Female,8.17,4.6,0.97,4.7,4.73,170,41,9.1,High,No,Moderate,1
24,Male,5.66,5.95,1.18,2.71,5.38,41,100,8.37,Medium,No,Moderate,1
31,Male,6.25,3.52,2.65,2.22,6.55,209,125,7.34,Medium,No,Moderate,1
35,Female,9.68,1.51,2.36,1.28,8.72,239,168,10.85,Low,Yes,Severe,1
20,Male,11.41,5.55,3.21,0.63,8.87,197,112,14.37,Medium,Yes,Moderate,1
34,Other,8.73,1.38,1.0,4.9,5.06,157,51,10.27,High,Yes,Moderate,1
20,Other,8.7,3.25,3.71,2.71,7.43,117,173,10.62,Medium,Yes,Moderate,1
24,Male,8.68,3.23,3.2,4.4,7.86,22,103,10.6,Low,No,Severe,1
22,Other,7.96,3.01,2.81,1.37,4.64,185,133,10.74,Medium,No,Moderate,1
22,Other,5.29,1.55,1.85,1.17,7.25,42,90,6.63,High,Yes,Mild,0
34,Other,10.96,4.92,0.09,5.61,8.61,152,117,11.5,Medium,Yes,Severe,1
18,Other,4.56,5.64,0.73,0.57,8.02,236,91,7.28,Medium,No,Severe,1
28,Male,3.37,3.69,1.03,0.96,6.76,206,164,5.13,Medium,No,Mild,0
19,Female,3.84,2.64,2.51,2.45,8.12,76,146,5.74,High,No,Mild,0
31,Male,9.28,5.51,2.45,5.06,4.83,119,28,10.82,Low,Yes,Moderate,1
21,Male,10.19,5.27,2.22,0.55,5.76,232,165,11.38,Medium,Yes,Moderate,1
27,Male,5.77,3.74,3.01,1.93,8.14,207,27,8.66,Low,No,Mild,0
30,Other,7.44,4.94,1.02,3.31,6.83,228,175,9.26,Medium,No,Severe,1
22,Other,8.34,1.42,3.1,5.67,6.91,67,55,10.15,Low,Yes,Moderate,1
24,Female,4.39,2.55,0.17,5.44,6.81,129,152,6.71,High,No,Mild,0
33,Female,7.52,3.86,1.6,2.28,6.98,142,83,9.86,High,No,Moderate,1
22,Other,3.71,2.47,0.8,5.66,5.95,108,99,5.71,Low,No,Mild,0
32,Female,11.69,0.98,2.74,4.38,5.81,154,113,13.9,Low,No,Severe,1
21,Male,10.55,4.09,3.16,3.9,6.41,105,72,11.72,Medium,No,Severe,1
29,Other,10.01,2.9,3.55,3.86,6.48,173,124,11.1,High,Yes,Moderate,1
24,Other,6.16,3.27,0.73,5.09,6.28,69,24,6.87,High,No,Moderate,1
22,Female,4.55,2.04,0.51,2.04,6.94,210,70,5.81,High,Yes,Mild,0
31,Male,7.98,3.62,2.08,1.9,7.45,32,36,10.49,High,Yes,Moderate,1
24,Other,4.77,2.15,0.02,5.11,6.0,76,127,7.14,Medium,No,Mild,0
33,Female,3.94,2.4,1.04,2.79,4.57,82,164,4.83,Medium,Yes,Mild,0
26,Other,11.38,5.04,1.61,4.35,6.73,32,176,12.71,Low,No,Severe,1
20,Male,3.96,4.3,2.84,5.02,6.07,133,175,6.77,Low,No,Moderate,1
20,Female,10.92,5.72,3.88,4.47,8.32,186,70,12.81,Low,No,Severe,1
28,Other,7.94,0.99,0.63,1.5,5.67,175,109,9.43,High,No,Moderate,1
33,Other,6.37,0.88,2.29,4.28,5.85,223,93,8.38,Low,No,Mild,0
21,Female,6.86,2.02,2.17,3.36,7.53,82,147,9.31,Medium,No,Moderate,1
32,Other,6.91,2.59,1.28,5.44,6.67,112,98,8.17,High,No,Mild,0
27,Other,5.0,4.71,2.15,4.11,4.96,240,120,7.5,Low,Yes,Moderate,1
26,Other,9.91,5.22,0.22,2.73,8.77,81,91,12.57,Medium,Yes,Severe,1
32,Male,7.2,5.97,2.66,1.1,8.77,184,79,8.86,Low,No,Severe,1
20,Male,10.37,4.13,2.78,3.16,5.28,113,134,13.27,Medium,No,Severe,1
25,Other,6.08,4.06,2.92,3.18,4.93,156,99,8.77,Medium,No,Moderate,1
28,Female,4.36,5.23,2.15,5.82,6.07,24,164,6.82,Medium,No,Severe,1
29,Male,11.35,1.04,1.64,0.74,8.04,155,82,13.42,Low,Yes,Severe,1
25,Other,4.92,4.55,3.15,4.01,6.5,96,19,6.58,Medium,No,Severe,1
21,Other,5.29,5.88,2.68,3.19,8.14,230,77,8.23,Low,No,Severe,1
28,Other,11.95,3.35,0.87,5.66,6.18,216,118,12.54,Medium,Yes,Moderate,1
30,Other,3.91,0.93,1.39,4.23,7.47,30,41,5.51,Low,No,Mild,0
26,Other,8.17,3.19,1.73,3.79,8.75,100,95,10.37,Medium,Yes,Moderate,1
29,Female,8.2,4.79,2.66,4.74,8.66,128,128,9.7,Low,No,Moderate,1
33,Other,12.0,2.52,2.7,2.46,6.87,124,26,13.72,Medium,Yes,Moderate,1
35,Male,4.93,4.78,3.87,1.77,6.05,47,64,6.96,Low,No,Moderate,1
32,Other,11.2,2.2,1.97,2.2,7.27,130,118,13.83,Low,No,Severe,1
31,Female,6.97,5.01,0.25,4.32,6.84,25,65,9.23,High,Yes,Moderate,1
25,Male,10.24,4.76,1.75,2.51,8.16,119,21,12.02,Medium,Yes,Severe,1
33,Male,10.29,5.7,2.83,4.9,5.14,149,148,11.77,High,Yes,Moderate,1
22,Other,11.61,4.88,0.66,1.95,7.46,102,55,14.12,Low,Yes,Severe,1
35,Female,8.11,5.88,3.37,4.96,8.39,120,96,9.74,Medium,No,Severe,1
24,Male,4.63,4.28,1.27,2.08,4.84,153,39,7.12,High,No,Moderate,1
30,Female,11.29,1.53,3.87,4.28,5.15,72,156,13.85,High,Yes,Moderate,1
31,Male,7.62,4.79,2.15,5.44,8.38,40,81,9.08,Low,Yes,Moderate,1
26,Male,8.96,1.84,0.97,1.97,4.77,44,43,9.92,Low,Yes,Severe,1
24,Female,3.01,3.15,3.11,5.56,6.61,143,26,5.34,Low,No,Mild,0
21,Male,11.74,1.8,1.86,1.29,7.22,20,138,13.29,Medium,Yes,Severe,1
21,Male,7.49,0.73,2.18,5.15,6.28,32,91,8.25,Medium,Yes,Mild,0
23,Male,6.48,2.14,1.31,2.7,7.27,139,91,7.25,High,Yes,Moderate,1
28,Male,9.46,4.27,0.92,4.25,6.24,84,160,10.04,High,No,Moderate,1
27,Male,4.18,4.98,3.99,4.38,7.18,194,28,4.99,Low,No,Moderate,1
30,Other,11.94,1.28,1.57,5.75,6.58,64,45,14.84,Low,Yes,Moderate,1
30,Female,9.56,4.8,1.36,1.45,8.08,55,59,10.34,High,Yes,Severe,1
26,Other,7.63,1.28,3.37,3.82,5.4,114,154,8.71,High,No,Mild,0
29,Male,4.1,5.32,2.94,2.17,8.58,215,37,4.98,High,Yes,Moderate,1
28,Female,6.31,5.73,2.33,3.15,7.1,76,101,8.83,High,No,Moderate,1
30,Male,8.03,1.13,2.23,4.7,6.32,138,126,10.67,Low,No,Severe,1
27,Male,5.92,5.75,3.37,5.62,8.1,136,177,8.09,Low,Yes,Severe,1
19,Male,5.05,1.47,2.32,2.81,8.23,205,130,6.38,Medium,No,Mild,0
30,Female,3.18,2.37,1.16,3.16,6.55,219,164,5.91,Medium,No,Mild,0
21,Female,3.95,0.78,3.81,3.67,6.26,245,130,5.36,High,No,Mild,0
18,Male,8.48,1.92,2.74,3.41,6.07,126,17,11.09,Medium,Yes,Severe,1
24,Female,7.67,5.62,3.13,3.12,7.31,240,128,10.38,Medium,No,Severe,1
19,Other,9.81,1.63,2.26,5.04,5.15,77,142,11.48,Low,No,Moderate,1
20,Other,3.5,2.91,0.95,2.47,5.09,172,122,4.43,High,Yes,Mild,0
23,Female,5.59,1.4,0.77,5.68,5.59,221,51,6.63,High,Yes,Mild,0
29,Female,8.89,1.55,1.75,5.34,5.95,55,168,10.15,Low,No,Moderate,1
21,Female,11.66,3.97,3.06,3.36,4.54,62,107,13.04,Medium,Yes,Moderate,1
25,Male,11.77,2.76,3.97,5.84,6.14,224,22,13.47,Medium,No,Severe,1
23,Female,3.38,4.47,3.8,1.43,5.62,39,138,3.97,Low,No,Severe,1
24,Other,11.56,4.77,2.65,3.47,6.62,154,138,12.46,High,No,Moderate,1
20,Female,5.26,1.37,1.24,2.49,6.34,167,43,6.94,High,No,Mild,0
21,Other,6.84,1.79,3.04,3.48,6.78,140,16,7.39,Low,Yes,Mild,0
33,Female,5.81,4.27,0.6,0.62,7.56,207,15,6.52,Medium,No,Severe,1
26,Male,3.6,2.01,1.99,1.26,8.39,37,29,6.27,Medium,No,Mild,0
32,Male,5.88,4.57,3.12,2.46,6.33,194,161,7.5,Medium,Yes,Moderate,1
30,Male,3.5,3.44,3.07,2.11,6.94,226,63,4.5,High,No,Mild,0
25,Male,9.2,1.69,2.14,4.04,6.42,223,37,11.86,Medium,No,Moderate,1
22,Male,6.61,0.92,2.97,3.42,6.75,45,173,8.7,Low,Yes,Moderate,1
21,Male,8.09,3.23,3.92,5.86,7.51,27,173,8.91,Low,Yes,Moderate,1
35,Other,4.39,4.48,1.41,1.81,7.67,164,130,6.99,Medium,Yes,Severe,1
28,Other,7.55,3.76,0.41,3.45,8.72,115,97,10.08,Low,No,Mild,0
35,Male,10.3,5.05,2.33,1.37,5.09,173,35,12.09,High,Yes,Moderate,1
27,Female,8.88,5.74,3.87,5.53,7.77,80,180,10.47,Medium,No,Moderate,1
27,Female,4.72,2.18,2.52,2.38,5.87,249,133,6.52,Low,No,Mild,0
21,Female,6.04,2.73,2.84,2.19,8.52,241,180,6.65,Low,Yes,Mild,0
35,Other,8.83,4.02,0.5,3.09,8.39,32,175,9.41,Low,No,Moderate,1
20,Female,6.77,2.45,0.91,2.78,5.8,62,118,8.22,High,Yes,Mild,0
26,Other,8.35,5.58,0.88,4.8,5.54,172,36,10.64,Medium,Yes,Moderate,1
28,Female,4.33,1.83,3.78,1.13,6.57,229,61,5.82,Low,No,Mild,0
31,Female,8.14,4.83,3.52,3.99,6.85,52,171,10.63,Low,No,Severe,1
27,Female,4.47,3.66,2.55,5.09,8.83,185,97,6.51,High,No,Mild,0
20,Female,11.85,1.87,2.38,4.84,5.25,216,56,14.2,Medium,Yes,Severe,1
24,Male,5.75,1.77,2.3,3.73,5.75,238,69,8.1,High,Yes,Mild,0
34,Female,7.22,4.32,1.34,1.59,8.22,231,145,7.97,Low,Yes,Moderate,1
25,Female,5.5,1.87,3.59,4.24,4.73,78,123,6.78,Low,Yes,Mild,0
19,Other,4.13,5.02,1.31,5.0,6.69,42,108,7.0,Medium,No,Moderate,1
26,Male,8.71,4.34,1.09,1.34,7.41,195,91,11.58,Medium,No,Moderate,1
23,Male,6.34,2.55,0.35,2.26,6.8,228,24,9.19,High,Yes,Mild,0
29,Other,11.13,2.42,2.97,4.51,5.9,85,32,13.17,Medium,Yes,Severe,1
33,Female,10.72,2.23,1.98,1.17,8.69,130,74,11.65,High,Yes,Severe,1
25,Female,3.16,4.81,0.48,2.76,8.3,39,152,5.3,High,No,Moderate,1
22,Other,3.08,4.79,1.83,5.67,5.91,94,54,3.72,High,No,Severe,1
31,Male,8.36,3.03,0.31,1.54,5.47,128,21,11.14,High,Yes,Moderate,1
26,Male,10.19,5.43,2.63,2.62,5.59,153,44,11.71,High,No,Severe,1
34,Other,10.36,2.44,1.68,3.78,8.97,180,24,12.51,Medium,No,Severe,1
35,Female,9.83,2.59,0.7,0.69,6.66,59,139,10.72,Low,Yes,Severe,1
22,Other,8.69,3.02,1.41,2.05,6.6,77,22,11.59,Low,Yes,Severe,1
32,Female,11.57,3.36,2.39,3.96,7.06,46,179,12.71,Medium,Yes,Severe,1
20,Male,5.34,3.14,2.26,5.69,6.21,151,121,6.96,Low,No,Mild,0
20,Other,6.82,2.45,0.18,4.18,8.08,230,117,7.84,Medium,Yes,Mild,0
19,Male,11.24,4.11,0.84,5.63,4.57,28,49,12.61,Medium,No,Severe,1
25,Other,9.93,4.37,1.93,1.83,7.55,45,111,11.67,High,No,Moderate,1
23,Female,10.56,1.09,1.13,3.14,5.19,238,41,11.42,High,Yes,Moderate,1
27,Other,6.03,0.63,0.23,2.38,7.15,28,144,9.01,High,Yes,Mild,0
33,Other,6.61,3.02,2.08,3.13,5.89,44,115,7.65,Low,No,Mild,0
25,Other,9.95,0.83,0.12,0.94,5.51,60,172,11.22,Low,Yes,Severe,1
26,Female,3.96,5.95,2.27,4.04,5.91,89,120,6.35,Low,No,Moderate,1
21,Male,7.7,4.89,0.63,2.35,6.54,103,176,9.21,Low,Yes,Moderate,1
19,Female,4.17,5.43,1.15,2.55,7.85,135,41,5.13,Low,No,Moderate,1
21,Other,11.31,5.18,0.66,5.24,8.47,23,101,11.98,Medium,No,Moderate,1
35,Male,10.21,5.17,0.87,1.2,6.87,95,85,11.92,High,Yes,Severe,1
26,Female,9.25,1.32,2.15,5.1,5.36,38,77,11.92,Low,No,Moderate,1
29,Male,3.37,5.69,3.35,5.29,8.61,28,54,4.82,Medium,Yes,Severe,1
25,Other,9.03,2.75,1.53,0.63,6.54,220,38,11.71,High,Yes,Moderate,1
22,Male,9.6,5.16,1.51,4.12,7.2,247,92,11.92,Medium,Yes,Severe,1
